ENSGID	GENE	minP	meanP
ENSG00000163380	LMOD3	0.001776	0.9617
ENSG00000163382	APOA1BP	0.007992	0.3575
ENSG00000163386	NBPF10	0.05974	0.9778
ENSG00000163389	POGLUT1	0.006925	0.6066
ENSG00000163393	SLC22A15	0.002168	0.466
ENSG00000163394	CCKAR	0.0009844	0.09709
ENSG00000163395	IGFN1	0.0179	0.9625
ENSG00000163399	ATP1A1	0.05998	0.6402
ENSG00000163406	SLC15A2	0.003837	0.595
ENSG00000163412	EIF4E3	0.004482	0.6831
ENSG00000163421	PROK2	0.01605	0.1738
ENSG00000163424	C3orf30	0.08996	0.3418
ENSG00000163428	LRRC58	0.02022	0.2755
ENSG00000163430	FSTL1	0.02402	0.0494
ENSG00000163431	LMOD1	0.00955	0.3971
ENSG00000163435	ELF3	0.02652	0.4483
ENSG00000163440	PDCL2	0.04836	0.04836
ENSG00000163444	TMEM183A	0.006659	0.4663
ENSG00000163449	TMEM169	0.001384	0.8401
ENSG00000163453	IGFBP7	0.004367	0.6918
ENSG00000163462	TRIM46	0.007992	0.5066
ENSG00000163463	KRTCAP2	0.5349	0.8272
ENSG00000163464	CXCR1	0.04521	0.3727
ENSG00000163466	ARPC2	0.001857	0.9723
ENSG00000163467	TSACC	0.02131	0.132
ENSG00000163468	CCT3	0.002376	0.4224
ENSG00000163472	TMEM79	0.02007	0.3019
ENSG00000163479	SSR2	0.08105	0.09809
ENSG00000163482	STK36	0.00729	0.8467
ENSG00000163485	ADORA1	0.001546	0.1687
ENSG00000163486	SRGAP2	0.0012	0.0694
ENSG00000163491	NEK10	0.0076	0.8538
ENSG00000163492	CCDC141	0.06257	0.5415
ENSG00000163497	FEV	0.1391	0.1391
ENSG00000163501	IHH	0.03416	0.3585
ENSG00000163507	KIAA1524	0.01356	0.2383
ENSG00000163508	EOMES	0.02919	0.2025
ENSG00000163510	CWC22	0.00433	0.1443
ENSG00000163512	AZI2	0.05761	0.5189
ENSG00000163513	TGFBR2	0.007823	0.6959
ENSG00000163515	RETNLB	0.03878	0.5612
ENSG00000163516	ANKZF1	0.01896	0.9218
ENSG00000163517	HDAC11	0.004778	0.8021
ENSG00000163519	TRAT1	0.1688	0.7506
ENSG00000163520	FBLN2	0.03012	0.5323
ENSG00000163521	GLB1L	0.004146	0.2181
ENSG00000163527	STT3B	6.763e-05	0.3374
ENSG00000163528	CHCHD4	0.004886	0.5244
ENSG00000163531	NFASC	0.002562	0.3875
ENSG00000163534	FCRL1	0.02783	0.315
ENSG00000163535	SGOL2	0.05	0.2141
ENSG00000163536	SERPINI1	0.008384	0.3707
ENSG00000163539	CLASP2	0.02171	0.6825
ENSG00000163541	SUCLG1	0.009498	0.6378
ENSG00000163545	NUAK2	0.01504	0.1753
ENSG00000163554	SPTA1	0.004838	0.7125
ENSG00000163558	PRKCI	0.004126	0.2063
ENSG00000163563	MNDA	0.01204	0.9902
ENSG00000163564	PYHIN1	0.01817	0.01817
ENSG00000163565	IFI16	0.001377	0.6466
ENSG00000163568	AIM2	0.004838	0.05624
ENSG00000163576	EFHB	0.008421	0.1439
ENSG00000163577	EIF5A2	0.05119	0.9443
ENSG00000163581	SLC2A2	0.1552	0.2337
ENSG00000163584	RPL22L1	0.06391	0.7457
ENSG00000163586	FABP1	0.0106	0.3535
ENSG00000163590	PPM1L	0.02323	0.3476
ENSG00000163596	ICA1L	0.005816	0.1276
ENSG00000163599	CTLA4	0.1197	0.6425
ENSG00000163602	RYBP	0.01327	0.3416
ENSG00000163605	PPP4R2	0.006049	0.3317
ENSG00000163606	CD200R1	0.05885	0.3563
ENSG00000163607	GTPBP8	0.01092	0.5302
ENSG00000163608	C3orf17	0.002014	0.1423
ENSG00000163611	SPICE1	0.00229	0.9874
ENSG00000163612	FAM86KP	0.01865	0.8193
ENSG00000163617	KIAA1407	0.01627	0.9448
ENSG00000163618	CADPS	0.01772	0.3955
ENSG00000163623	NKX6-1	0.007744	0.4246
ENSG00000163624	CDS1	0.00072	0.3236
ENSG00000163625	WDFY3	0.0956	0.9749
ENSG00000163626	COX18	0.01151	0.389
ENSG00000163629	PTPN13	0.01386	0.7659
ENSG00000163630	SYNPR	0.04627	0.06665
ENSG00000163631	ALB	0.005636	0.4408
ENSG00000163633	C4orf36	0.003893	0.8315
ENSG00000163634	THOC7	0.00503	0.6124
ENSG00000163635	ATXN7	0.02343	0.5204
ENSG00000163636	PSMD6	0.004996	0.7022
ENSG00000163637	PRICKLE2	0.005664	0.7303
ENSG00000163638	ADAMTS9	0.00624	0.3034
ENSG00000163644	PPM1K	0.001165	0.6985
ENSG00000163645	FAM194A	0.004636	0.07572
ENSG00000163646	CLRN1	0.1867	0.3467
ENSG00000163655	GMPS	0.03134	0.2754
ENSG00000163659	TIPARP	0.002769	0.605
ENSG00000163660	CCNL1	0.001295	0.7484
ENSG00000163661	PTX3	0.1008	0.2804
ENSG00000163666	HESX1	0.01054	0.9917
ENSG00000163673	DCLK3	0.02276	0.05928
ENSG00000163681	SLMAP	0.007792	0.09934
ENSG00000163682	RPL9	0.005257	0.734
ENSG00000163683	SMIM14	0.001055	0.6966
ENSG00000163684	RPP14	0.002786	0.6251
ENSG00000163686	ABHD6	0.003899	0.9686
ENSG00000163687	DNASE1L3	0.01044	0.07908
ENSG00000163689	C3orf67	0.01765	0.1031
ENSG00000163694	RBM47	0.01203	0.7009
ENSG00000163697	APBB2	0.001055	0.653
ENSG00000163701	IL17RE	0.001645	0.9149
ENSG00000163702	IL17RC	0.01241	0.8255
ENSG00000163703	CRELD1	0.0004146	0.005517
ENSG00000163704	PRRT3	0.005517	0.7981
ENSG00000163705	FANCD2OS	0.008912	0.356
ENSG00000163710	PCOLCE2	0.003807	0.1777
ENSG00000163714	U2SURP	0.003807	0.8712
ENSG00000163719	MTMR14	0.008666	0.3683
ENSG00000163728	TTC14	0.003533	0.2057
ENSG00000163734	CXCL3	0.01217	0.5076
ENSG00000163735	CXCL5	0.07521	0.2939
ENSG00000163736	PPBP	0.06686	0.06768
ENSG00000163737	PF4	0.005636	0.1071
ENSG00000163738	MTHFD2L	0.0002419	0.6705
ENSG00000163739	CXCL1	0.009842	0.6194
ENSG00000163743	RCHY1	0.005107	0.6135
ENSG00000163746	PLSCR2	0.008825	0.6578
ENSG00000163749	CCDC158	0.003062	0.5619
ENSG00000163751	CPA3	0.03285	0.4758
ENSG00000163754	GYG1	0.00113	0.2741
ENSG00000163755	HPS3	0.00458	0.1558
ENSG00000163762	TM4SF18	0.002565	0.02901
ENSG00000163781	TOPBP1	0.01702	0.4933
ENSG00000163785	RYK	0.007046	0.5982
ENSG00000163788	SNRK	0.004249	0.2105
ENSG00000163792	TCF23	0.2212	0.2793
ENSG00000163793	DNAJC5G	0.0722	0.3743
ENSG00000163794	UCN	0.2235	0.2235
ENSG00000163795	ZNF513	0.02573	0.6907
ENSG00000163798	SLC4A1AP	0.01793	0.3002
ENSG00000163803	PLB1	0.009854	0.2169
ENSG00000163806	SPDYA	0.2222	0.3692
ENSG00000163807	KIAA1143	0.00978	0.06832
ENSG00000163808	KIF15	0.04511	0.769
ENSG00000163810	TGM4	0.00978	0.3444
ENSG00000163811	WDR43	0.005582	0.03222
ENSG00000163812	ZDHHC3	0.01309	0.2514
ENSG00000163814	CDCP1	0.002675	0.1553
ENSG00000163815	CLEC3B	0.04097	0.7528
ENSG00000163817	SLC6A20	0.075	0.558
ENSG00000163818	LZTFL1	0.05825	0.1343
ENSG00000163820	FYCO1	0.03952	0.7781
ENSG00000163823	CCR1	0.04717	0.2277
ENSG00000163825	RTP3	0.05683	0.7923
ENSG00000163827	LRRC2	0.01309	0.1011
ENSG00000163832	ELP6	0.1242	0.3161
ENSG00000163833	FBXO40	0.01471	0.08384
ENSG00000163840	DTX3L	0.003358	0.0152
ENSG00000163848	ZNF148	0.01627	0.8503
ENSG00000163864	NMNAT3	0.002045	0.3948
ENSG00000163866	SMIM12	0.000835	0.1887
ENSG00000163870	TPRA1	0.01254	0.01254
ENSG00000163872	YEATS2	0.01034	0.7324
ENSG00000163873	GRIK3	0.00299	0.5693
ENSG00000163874	ZC3H12A	0.09895	0.4639
ENSG00000163875	MEAF6	0.002992	0.769
ENSG00000163877	SNIP1	0.004956	0.5444
ENSG00000163879	DNALI1	0.01102	0.02744
ENSG00000163882	POLR2H	0.01362	0.4674
ENSG00000163884	KLF15	0.02659	0.845
ENSG00000163885	CCDC37	0.01732	0.7908
ENSG00000163888	CAMK2N2	0.01362	0.6835
ENSG00000163898	LIPH	0.002004	0.6744
ENSG00000163900	TMEM41A	0.1669	0.9245
ENSG00000163902	RPN1	3.099e-05	0.5366
ENSG00000163904	SENP2	0.001398	0.3541
ENSG00000163909	HEYL	0.009936	0.3265
ENSG00000163913	IFT122	0.002161	0.1005
ENSG00000163914	RHO	0.02313	0.2819
ENSG00000163918	RFC4	0.004065	0.04126
ENSG00000163923	RPL39L	0.0246	0.0947
ENSG00000163930	BAP1	0.2067	0.5967
ENSG00000163931	TKT	0.01155	0.3298
ENSG00000163932	PRKCD	0.02042	0.6349
ENSG00000163933	RFT1	0.01155	0.5016
ENSG00000163935	SFMBT1	0.02597	0.4577
ENSG00000163938	GNL3	0.01155	0.6077
ENSG00000163939	PBRM1	0.02888	0.6753
ENSG00000163945	UVSSA	4.724e-05	0.3916
ENSG00000163946	FAM208A	0.002468	0.05853
ENSG00000163947	ARHGEF3	0.0036	0.005487
ENSG00000163950	SLBP	0.0193	0.531
ENSG00000163956	LRPAP1	0.001863	0.03942
ENSG00000163958	ZDHHC19	2.861e-05	0.3386
ENSG00000163959	SLC51A	9.374e-09	0.3316
ENSG00000163960	UBXN7	2.664e-10	0.01912
ENSG00000163961	RNF168	0.0001329	0.6207
ENSG00000163964	PIGX	2.664e-10	0.004706
ENSG00000163975	MFI2	0.002865	0.2579
ENSG00000163982	OTOP1	0.01343	0.5898
ENSG00000163993	S100P	0.003361	0.7535
ENSG00000163995	ABLIM2	0.002388	0.8216
ENSG00000164002	EXO5	0.001231	0.122
ENSG00000164007	CLDN19	0.04837	0.3835
ENSG00000164008	C1orf50	0.003937	0.1143
ENSG00000164010	ERMAP	0.0009039	0.28
ENSG00000164011	ZNF691	0.003956	0.5051
ENSG00000164022	AIMP1	0.00429	0.7621
ENSG00000164023	SGMS2	0.007072	0.2688
ENSG00000164024	METAP1	0.01414	0.5147
ENSG00000164031	DNAJB14	0.02848	0.4693
ENSG00000164032	H2AFZ	0.05501	0.4375
ENSG00000164035	EMCN	0.1032	0.5828
ENSG00000164037	SLC9B1	0.006508	0.553
ENSG00000164038	SLC9B2	0.01345	0.8884
ENSG00000164039	BDH2	0.006219	0.1827
ENSG00000164040	PGRMC2	0.002555	0.5589
ENSG00000164045	CDC25A	0.005659	0.17
ENSG00000164047	CAMP	0.04557	0.965
ENSG00000164048	ZNF589	0.005659	0.1057
ENSG00000164049	FBXW12	0.1122	0.5924
ENSG00000164050	PLXNB1	0.0604	0.6528
ENSG00000164053	ATRIP	0.005659	0.5456
ENSG00000164054	SHISA5	0.005659	0.6242
ENSG00000164056	SPRY1	0.01199	0.4672
ENSG00000164061	BSN	0.3125	0.7187
ENSG00000164062	APEH	0.05615	0.7293
ENSG00000164066	INTU	0.00491	0.6643
ENSG00000164068	RNF123	0.05615	0.5657
ENSG00000164070	HSPA4L	0.007631	0.9264
ENSG00000164073	MFSD8	3.446e-05	0.3878
ENSG00000164074	C4orf29	3.446e-05	0.1504
ENSG00000164076	CAMKV	0.4736	0.8078
ENSG00000164077	MON1A	0.1642	0.7148
ENSG00000164078	MST1R	0.1569	0.4565
ENSG00000164080	RAD54L2	0.05592	0.6326
ENSG00000164081	TEX264	0.05592	0.9658
ENSG00000164082	GRM2	0.05592	0.7989
ENSG00000164086	DUSP7	0.09385	0.9783
ENSG00000164087	POC1A	0.283	0.283
ENSG00000164088	PPM1M	0.05592	0.5108
ENSG00000164089	ETNPPL	0.3033	0.8481
ENSG00000164091	WDR82	0.1423	0.4412
ENSG00000164093	PITX2	0.2362	0.8148
ENSG00000164096	C4orf3	0.01344	0.1718
ENSG00000164099	PRSS12	0.005055	0.3817
ENSG00000164100	NDST3	0.006514	0.2624
ENSG00000164104	HMGB2	0.03081	0.9225
ENSG00000164105	SAP30	0.02618	0.7863
ENSG00000164106	SCRG1	0.009942	0.4065
ENSG00000164107	HAND2	0.03359	0.5858
ENSG00000164109	MAD2L1	0.01248	0.8924
ENSG00000164111	ANXA5	0.01302	0.6752
ENSG00000164112	TMEM155	0.007296	0.6053
ENSG00000164114	MAP9	0.005431	0.9065
ENSG00000164116	GUCY1A3	0.006717	0.2972
ENSG00000164117	FBXO8	0.009942	0.8502
ENSG00000164118	CEP44	0.01338	0.08018
ENSG00000164120	HPGD	0.009243	0.3892
ENSG00000164122	ASB5	0.0001253	0.1534
ENSG00000164123	C4orf45	0.003863	0.1809
ENSG00000164124	TMEM144	0.001083	0.1083
ENSG00000164125	FAM198B	0.01509	0.06455
ENSG00000164128	NPY1R	0.0005759	0.1057
ENSG00000164129	NPY5R	0.00138	0.2052
ENSG00000164134	NAA15	0.02983	0.6359
ENSG00000164136	IL15	0.005838	0.2372
ENSG00000164142	FAM160A1	0.01547	0.08574
ENSG00000164144	ARFIP1	0.004364	0.5845
ENSG00000164151	KIAA0947	0.02553	0.6317
ENSG00000164161	HHIP	0.001615	0.8055
ENSG00000164162	ANAPC10	0.003106	0.5241
ENSG00000164163	ABCE1	0.002554	0.01353
ENSG00000164164	OTUD4	0.002384	0.81
ENSG00000164167	LSM6	0.00227	0.9456
ENSG00000164168	TMEM184C	0.01753	0.2194
ENSG00000164169	PRMT10	0.001979	0.9509
ENSG00000164171	ITGA2	0.006953	0.6763
ENSG00000164172	MOCS2	0.01243	0.7121
ENSG00000164175	SLC45A2	0.002248	0.734
ENSG00000164176	EDIL3	0.06175	0.6806
ENSG00000164180	TMEM161B	0.0002364	0.7343
ENSG00000164181	ELOVL7	0.01041	0.9304
ENSG00000164182	NDUFAF2	0.0314	0.2949
ENSG00000164185	ZNF474	0.007712	0.9996
ENSG00000164187	LMBRD2	0.02697	0.2187
ENSG00000164188	RANBP3L	0.007748	0.8685
ENSG00000164197	RNF180	0.0032	0.5126
ENSG00000164199	GPR98	0.01359	0.8727
ENSG00000164209	SLC25A46	0.001324	0.009581
ENSG00000164211	STARD4	0.003995	0.219
ENSG00000164219	PGGT1B	0.008316	0.1924
ENSG00000164220	F2RL2	0.001041	0.3577
ENSG00000164221	CCDC112	0.01503	0.1955
ENSG00000164236	ANKRD33B	0.002504	0.7173
ENSG00000164237	CMBL	0.0009254	0.4278
ENSG00000164241	C5orf63	0.00118	0.1249
ENSG00000164244	PRRC1	0.001183	0.7346
ENSG00000164251	F2RL1	0.003586	0.8922
ENSG00000164252	AGGF1	0.008842	0.4954
ENSG00000164253	WDR41	0.007323	0.293
ENSG00000164258	NDUFS4	6.005e-05	0.9452
ENSG00000164265	SCGB3A2	0.001307	0.8896
ENSG00000164266	SPINK1	0.001307	0.7081
ENSG00000164270	HTR4	0.02936	0.396
ENSG00000164283	ESM1	0.004126	0.2621
ENSG00000164284	GRPEL2	0.001089	0.6802
ENSG00000164287	CDC20B	0.06764	0.8163
ENSG00000164291	ARSK	0.1366	0.6432
ENSG00000164292	RHOBTB3	0.009585	0.5989
ENSG00000164294	GPX8	0.00258	0.6751
ENSG00000164296	TIGD6	0.001089	0.4922
ENSG00000164300	SERINC5	0.007687	0.5957
ENSG00000164303	ENPP6	0.001923	0.992
ENSG00000164305	CASP3	0.001923	0.5934
ENSG00000164306	PRIMPOL	0.002795	0.8726
ENSG00000164307	ERAP1	0.003172	0.8086
ENSG00000164308	ERAP2	0.005309	0.7588
ENSG00000164309	CMYA5	0.01317	0.2429
ENSG00000164318	EGFLAM	0.01662	0.4692
ENSG00000164323	KIAA1430	0.001923	0.8344
ENSG00000164326	CARTPT	0.003942	0.4871
ENSG00000164327	RICTOR	0.01857	0.1565
ENSG00000164329	PAPD4	0.008619	0.02464
ENSG00000164330	EBF1	0.01639	0.09373
ENSG00000164331	ANKRA2	0.001329	0.6306
ENSG00000164332	UBLCP1	0.05136	0.168
ENSG00000164334	FAM170A	0.0004147	0.228
ENSG00000164338	UTP15	0.006766	0.9259
ENSG00000164342	TLR3	0.0009396	0.1697
ENSG00000164344	KLKB1	0.000234	0.3462
ENSG00000164346	NSA2	0.002615	0.2285
ENSG00000164347	GFM2	0.001329	0.02435
ENSG00000164362	TERT	1.867e-07	0.9412
ENSG00000164366	CCDC127	4.902e-11	0.3333
ENSG00000164379	FOXQ1	0.01594	0.3475
ENSG00000164385	C6orf195	0.001981	0.6327
ENSG00000164393	GPR111	0.001528	0.5661
ENSG00000164398	ACSL6	0.008622	0.626
ENSG00000164400	CSF2	0.06433	0.3525
ENSG00000164402	SEPT8	0.03412	0.9247
ENSG00000164403	SHROOM1	0.01779	0.7336
ENSG00000164404	GDF9	0.002676	0.01677
ENSG00000164405	UQCRQ	0.002022	0.781
ENSG00000164406	LEAP2	0.04999	0.7795
ENSG00000164411	GJB7	0.0476	0.0476
ENSG00000164414	SLC35A1	0.0108	0.3224
ENSG00000164418	GRIK2	0.03139	0.34
ENSG00000164430	MB21D1	0.06968	0.2456
ENSG00000164434	FABP7	0.002162	0.377
ENSG00000164438	TLX3	0.02367	0.5084
ENSG00000164440	TXLNB	0.003493	0.4277
ENSG00000164442	CITED2	0.003126	0.577
ENSG00000164451	FAM26D	0.00681	0.5518
ENSG00000164458	T	0.006694	0.1189
ENSG00000164463	CREBRF	0.002579	0.9314
ENSG00000164465	DCBLD1	0.001777	0.1415
ENSG00000164466	SFXN1	0.005863	0.3756
ENSG00000164483	SAMD3	0.01402	0.05968
ENSG00000164484	TMEM200A	0.01402	0.9652
ENSG00000164488	DACT2	0.0003227	0.5392
ENSG00000164494	PDSS2	0.0007299	0.1165
ENSG00000164500	C7orf72	0.03324	0.6431
ENSG00000164506	STXBP5	0.03707	0.9973
ENSG00000164509	IL31RA	0.005831	0.5362
ENSG00000164512	ANKRD55	0.0005838	0.1628
ENSG00000164520	RAET1E	0.001296	0.4685
ENSG00000164530	PI16	0.0009722	0.5
ENSG00000164532	TBX20	0.01214	0.4313
ENSG00000164535	DAGLB	0.005415	0.3009
ENSG00000164542	KIAA0895	0.006601	0.4008
ENSG00000164543	STK17A	0.008269	0.4975
ENSG00000164548	TRA2A	0.02954	0.3626
ENSG00000164556	FAM183B	0.0003344	0.4111
ENSG00000164574	GALNT10	0.0006409	0.8701
ENSG00000164576	SAP30L	0.0006409	0.8839
ENSG00000164587	RPS14	0.01128	0.6525
ENSG00000164588	HCN1	0.05062	0.3909
ENSG00000164591	MYOZ3	0.1281	0.9878
ENSG00000164597	COG5	0.01441	0.831
ENSG00000164600	NEUROD6	0.03503	0.05363
ENSG00000164603	C7orf60	0.001769	0.9911
ENSG00000164604	GPR85	0.005165	0.6208
ENSG00000164609	SLU7	0.008546	0.424
ENSG00000164610	RP9	0.0105	0.9862
ENSG00000164611	PTTG1	0.01963	0.156
ENSG00000164615	CAMLG	0.0002593	0.7515
ENSG00000164619	BMPER	0.003308	0.6943
ENSG00000164620	RELL2	0.02956	0.1875
ENSG00000164626	KCNK5	0.0006979	0.1054
ENSG00000164627	KIF6	0.004461	0.7752
ENSG00000164631	ZNF12	0.008863	0.1641
ENSG00000164638	SLC29A4	0.003413	0.258
ENSG00000164647	STEAP1	0.004966	0.1605
ENSG00000164649	CDCA7L	0.001142	0.5466
ENSG00000164654	MIOS	0.001365	0.3955
ENSG00000164659	KIAA1324L	0.06885	0.2428
ENSG00000164663	USP49	0.008889	0.831
ENSG00000164669	INTS4L1	0.01333	0.07893
ENSG00000164674	SYTL3	0.01291	0.5546
ENSG00000164675	IQUB	0.005063	0.1949
ENSG00000164683	HEY1	0.07307	0.7861
ENSG00000164684	ZNF704	0.001799	0.4743
ENSG00000164687	FABP5	0.05761	0.1473
ENSG00000164690	SHH	0.01834	0.147
ENSG00000164691	TAGAP	0.06002	0.959
ENSG00000164692	COL1A2	0.01234	0.06008
ENSG00000164694	FNDC1	0.002499	0.3099
ENSG00000164695	CHMP4C	0.0005512	0.663
ENSG00000164707	SLC13A4	0.002317	0.8849
ENSG00000164713	BRI3	0.00411	0.8006
ENSG00000164715	LMTK2	0.00411	0.07231
ENSG00000164729	SLC35G3	0.002852	0.4493
ENSG00000164733	CTSB	0.008488	0.1572
ENSG00000164736	SOX17	0.0002481	0.51
ENSG00000164741	DLC1	0.0016	0.5302
ENSG00000164742	ADCY1	0.02248	0.5489
ENSG00000164743	C8orf48	0.03617	0.6219
ENSG00000164744	SUN3	0.02499	0.4979
ENSG00000164746	C7orf57	0.01132	0.3793
ENSG00000164749	HNF4G	0.009288	0.5153
ENSG00000164751	PEX2	0.002567	0.8991
ENSG00000164754	RAD21	0.003565	0.9755
ENSG00000164756	SLC30A8	0.02711	0.1897
ENSG00000164758	MED30	0.0005847	0.5229
ENSG00000164761	TNFRSF11B	0.03027	0.8033
ENSG00000164764	SBSPON	0.0183	0.4127
ENSG00000164776	PHKG1	0.0144	0.5222
ENSG00000164778	EN2	0.001701	0.9626
ENSG00000164794	KCNV1	0.03267	0.2375
ENSG00000164796	CSMD3	0.05195	0.7445
ENSG00000164808	SPIDR	0.04819	0.5544
ENSG00000164815	ORC5	0.04035	0.8109
ENSG00000164816	DEFA5	0.02908	0.5211
ENSG00000164818	HEATR2	0.001615	0.001615
ENSG00000164821	DEFA4	0.00895	0.5227
ENSG00000164822	DEFA6	0.005482	0.132
ENSG00000164823	OSGIN2	0.002587	0.903
ENSG00000164825	DEFB1	0.007251	0.5711
ENSG00000164828	SUN1	0.002504	0.2498
ENSG00000164830	OXR1	0.02758	0.4159
ENSG00000164841	TMEM74	0.01895	0.03006
ENSG00000164845	FAM86FP	0.001194	0.2465
ENSG00000164849	GPR146	0.001615	0.4933
ENSG00000164850	GPER1	0.002006	0.3804
ENSG00000164855	TMEM184A	0.001672	0.116
ENSG00000164867	NOS3	0.00358	0.3475
ENSG00000164877	MICALL2	0.002504	0.9817
ENSG00000164879	CA3	0.01972	0.372
ENSG00000164880	INTS1	0.001637	0.03671
ENSG00000164885	CDK5	0.256	0.256
ENSG00000164889	SLC4A2	0.0005658	0.9641
ENSG00000164893	SLC7A13	0.05614	0.4095
ENSG00000164896	FASTK	0.001543	0.1086
ENSG00000164897	TMUB1	0.0192	0.2948
ENSG00000164898	C7orf55	0.00256	0.7169
ENSG00000164900	GBX1	0.3898	0.6852
ENSG00000164902	PHAX	0.007617	0.7921
ENSG00000164904	ALDH7A1	0.001014	0.326
ENSG00000164916	FOXK1	0.01808	0.7654
ENSG00000164919	COX6C	0.001227	0.7945
ENSG00000164920	OSR2	0.03067	0.721
ENSG00000164924	YWHAZ	0.004077	0.8775
ENSG00000164929	BAALC	0.002361	0.48
ENSG00000164930	FZD6	0.007487	0.6374
ENSG00000164932	CTHRC1	0.01825	0.07229
ENSG00000164933	SLC25A32	0.00641	0.1402
ENSG00000164934	DCAF13	0.001975	0.6841
ENSG00000164935	DCSTAMP	0.0181	0.04891
ENSG00000164938	TP53INP1	0.0004977	0.3312
ENSG00000164941	INTS8	0.002608	0.1804
ENSG00000164944	KIAA1429	0.0001649	0.04211
ENSG00000164946	FREM1	0.004703	0.3971
ENSG00000164949	GEM	0.0001649	0.2987
ENSG00000164951	PDP1	0.002899	0.1194
ENSG00000164953	TMEM67	0.0004875	0.7731
ENSG00000164961	KIAA0196	0.003183	0.7153
ENSG00000164967	RPP25L	0.001416	0.2128
ENSG00000164970	FAM219A	0.03903	0.3356
ENSG00000164972	C9orf24	0.01198	0.6892
ENSG00000164975	SNAPC3	0.01699	0.02176
ENSG00000164976	KIAA1161	0.03263	0.324
ENSG00000164978	NUDT2	0.001416	0.3567
ENSG00000164983	TMEM65	0.007203	0.7153
ENSG00000164985	PSIP1	0.04341	0.271
ENSG00000164989	CCDC171	0.003766	0.8362
ENSG00000165006	UBAP1	0.001416	0.296
ENSG00000165023	DIRAS2	0.008041	0.8015
ENSG00000165025	SYK	0.02645	0.1437
ENSG00000165028	NIPSNAP3B	0.006178	0.5766
ENSG00000165029	ABCA1	0.04365	0.7362
ENSG00000165030	NFIL3	0.05692	0.7486
ENSG00000165046	LETM2	0.02067	0.02067
ENSG00000165055	METTL2B	2.764e-05	0.9768
ENSG00000165059	PRKACG	0.4039	0.7722
ENSG00000165060	FXN	0.01816	0.9952
ENSG00000165061	ZMAT4	0.02052	0.2066
ENSG00000165066	NKX6-3	0.002751	0.571
ENSG00000165071	TMEM71	0.002178	0.7061
ENSG00000165072	MAMDC2	0.003976	0.9439
ENSG00000165076	PRSS37	0.007437	0.02165
ENSG00000165078	CPA6	0.01391	0.1682
ENSG00000165084	C8orf34	0.01309	0.6672
ENSG00000165091	TMC1	0.02994	0.2117
ENSG00000165092	ALDH1A1	0.02007	0.6099
ENSG00000165097	KDM1B	0.0334	0.456
ENSG00000165102	HGSNAT	0.0022	0.4692
ENSG00000165105	RASEF	0.007833	0.6806
ENSG00000165113	GKAP1	0.007833	0.9577
ENSG00000165115	KIF27	0.004724	0.8826
ENSG00000165118	C9orf64	0.0181	0.9871
ENSG00000165119	HNRNPK	0.01241	0.08981
ENSG00000165121	RP11-213G2.3	0.01768	0.38
ENSG00000165124	SVEP1	0.06045	0.655
ENSG00000165125	TRPV6	0.008733	0.6877
ENSG00000165131	C7orf34	0.03007	0.8493
ENSG00000165138	ANKS6	0.001046	0.3404
ENSG00000165140	FBP1	0.0005451	0.9189
ENSG00000165152	TMEM246	0.01555	0.6758
ENSG00000165156	ZHX1	0.02417	0.8337
ENSG00000165171	WBSCR27	0.00937	0.8085
ENSG00000165178	NCF1C	0.00937	0.7098
ENSG00000165181	C9orf84	0.009699	0.8775
ENSG00000165188	RNF183	0.005445	0.4746
ENSG00000165202	OR1Q1	0.0001669	0.2676
ENSG00000165209	STRBP	0.001372	0.4676
ENSG00000165215	CLDN3	0.02391	0.2658
ENSG00000165219	GAPVD1	0.04388	0.665
ENSG00000165233	C9orf89	0.009617	0.3161
ENSG00000165238	WNK2	0.00336	0.07746
ENSG00000165244	ZNF367	0.03908	0.03908
ENSG00000165264	NDUFB6	0.004263	0.5847
ENSG00000165269	AQP7	0.002971	0.3368
ENSG00000165271	NOL6	0.001416	0.8634
ENSG00000165272	AQP3	0.00171	0.9621
ENSG00000165275	TRMT10B	0.001049	0.9562
ENSG00000165280	VCP	0.005553	0.03468
ENSG00000165282	PIGO	0.003987	0.04547
ENSG00000165283	STOML2	0.01048	0.115
ENSG00000165300	SLITRK5	0.001636	0.7941
ENSG00000165304	MELK	0.1149	0.3359
ENSG00000165309	ARMC3	0.01941	0.9636
ENSG00000165312	OTUD1	0.03995	0.3824
ENSG00000165322	ARHGAP12	0.01895	0.7648
ENSG00000165323	FAT3	0.01033	0.4453
ENSG00000165325	CCDC67	0.0009272	0.2968
ENSG00000165338	HECTD2	0.05962	0.4032
ENSG00000165355	FBXO33	0.02178	0.335
ENSG00000165379	LRFN5	0.01457	0.6066
ENSG00000165383	LRRC18	0.002627	0.8605
ENSG00000165388	ZNF488	0.03571	0.5485
ENSG00000165389	SPTSSA	0.0008956	0.362
ENSG00000165390	ANXA8	0.01877	0.5752
ENSG00000165392	WRN	0.001537	0.4739
ENSG00000165406	MARCH8	0.005673	0.6731
ENSG00000165409	TSHR	0.02373	0.538
ENSG00000165410	CFL2	0.02586	0.8897
ENSG00000165416	SUGT1	0.02888	0.5778
ENSG00000165417	GTF2A1	0.07439	0.5695
ENSG00000165424	ZCCHC24	0.02509	0.58
ENSG00000165434	PGM2L1	0.04206	0.8099
ENSG00000165443	PHYHIPL	0.00109	0.3144
